CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
15730059,Udobata  ,638,Spain,Male,44,9,77637.35,2,1 units,1,111346.22,0 units
15646810,Quinn,603,Germany,MALE,44,6,,2,1,,108488.33,1
15602844,Niu,717,FRANCE,Male,₹38,7,97459.06,1 units,0,0 units,189175.71,0
15656148,Obinna,376,Germany,Female  ,29,,,4 units,1,0,119346.88,1
15697201,Yocum,640,Spain,Female,46,3,0.0,1,1,1,156260.08,0
15769125,PALERMA,727,Spain,Female,41,10,0.0,2,0,1,47468.56,0
15589544,Wallis,673,Spain,FEMALE,57,4,,2,1,1,49684.09,0
15638424,Glauert,661,Germany,Female,35,5,150725.53,2,0,1,113656.85,0
15664860,Chao,692,Spain,Female  ,47,3,0.0 units,2,1,0,₹150802.41,1
15775678,Uspensky,716,France  ,Female,44,1,0.0,1,1,1,152108.47,0 units
15774382,NULL,579,Germany,Male,49 units,4,169377.31,1,1,1,123535.05,0
15694506,Briggs,,NULL,Male,31,,107884.81,2,1,1,₹183487.98,0
15578866,Hughes,676,France,Female,43,2,0.0 units,₹1 units,1,1,55119.53,0
15768233,Chukwuebuka,435 units,Germany,Male  ,37,8,114346.3,1,0,1,980.93,1
15580956,,683,Germany,Female,43,4,115888.04,1,1 units,1,117349.19,1
15763063,Price,685,Spain,Female,25,10,128509.63,1,1,0,121562.33 units,0
15568046,Izuchukwu,809,France,MALE,24,7,109558.36,1,1,0,183515.13,0 units
15671256,Macartney,850,FRANCE,Female  ,35,1,211774.31,₹1,1,0,188574.12,1
15594084,Anderson,524,France,Male  ,22,9,0.0,2,1 units,0,74405.34,0
15677906,Owens,637,Spain,Female,54,5,,1,0 units,1,150836.98,0
15695632,Dellucci,556,France,Female,39,9,89588.35,1,1,1,,0
15806837,Nnaife,669,France,Male,37,4,0.0,1,1,0,132540.33,0 units
15795933,Barese,677,France,Female,49 units,3,0.0,2,1,1,,0
15696231,CHIWETELU,₹635,France,Male,29,7,105405.97,1,1,1,₹149853.89,0
15797381,DeRose,593,Germany,Female,48,3,133903.12,2,1,1,85902.39 units,1
15589320,Sagese,699 units,Spain,Male,34,8,0.0,1,1,₹1,76510.46,0
,Onyemachukwu,850,France,Female,36,6,0.0,2,1,1,190194.95,0
15698902,McIntyre,547,Germany,Female,42,1,,1,1,0,86207.49,1
15673619,Bazhenov,530,France,Male,25,9,₹162560.32,1,1,0,64129.03,0
15800068,COOPER,₹801 units,Spain,Female,46,6,0.0,2,1,1,170008.74,0
15574167,FOX,665,France,Male,33,2,101286.11,1,1,1 units,159840.51,0
15755405,Hudson,710,France,Male,43,9,128284.45,1,1,₹0,32996.89,1
15630704,Haworth,612,Germany,Male,32,9,106520.73,₹2,1,0,177092.16,0
15651140,Doherty,710,France,Female  ,32,3,0.0,1,1,0,₹94790.34,₹0
15579914,Garcia,,Germany,MALE,30,2,109786.82 units,2,1,1,139712.81,0
15609510,Gregory,669,France,Male,45,7,149364.58,1,₹0,1 units,173454.07,₹0
15607275,Ch'ang,850,Spain,Male,39,6,206014.94,2,0,1,42774.84,1
15631222,CATTANEO,485,France,Female  ,39,2,75339.64,1,1,1,70665.16,₹0
,Ma,559,France,,34,4,0.0,2,1,1,66721.98,0
15725772,Ch'in,654,Spain,Female,36,2,0.0,2,1,,146652.11,0 units
,Maclean  ,704,France,Male,44 units,3,0.0,2 units,0,1,152884.85,0
15772329,NULL,580,Germany,Male,45,8,103741.14,1 units,1,0,47428.73,
₹15799998,Cunningham,608,France,FEMALE,30,8,85859.76,1,0,0,142730.27,0
15777797 units,Kovalyova,689,Spain,,₹38,5,75075.14,1,1 units,1,8651.92,1
15737605,Morris,531,Spain,Female,45,1,126495.57,2,1,1,164741.5,0
15656627,Lin,602,France,Male,34,5,0.0,2,,1,77414.45,0 units
₹15593365,Shih  ,762,Spain,Male,39,2,81273.13,1 units,₹1,1,18719.67,0
15758702,WATSON,705,France,Female,₹55 units,8,0.0,2,₹1,1,14392.68,0
15672374 units,,672,France,Male,52,8,170008.84,1,0,0,56407.42,1
15714380,Butcher,827,,Male,38,5,0.0 units,2,0,0,103305.01,0
15659094,Ojiofor,765,Germany,Female,34,8,136729.51,2,0 units,0,47058.21,0
15665766,T'ang,698,Germany,Male,39,,133191.19,2,0,1,53289.49,0
15792660,Gibbons,614,France,Male,38,2,116248.88 units,1,1,0,105140.92,0
15681342 units,Hurst,₹639,France,Female,35 units,1,103015.12,,1,1,139094.12,0
15760456,Eberechukwu,731,,Female,38,10,123711.73,2,1,0,₹171340.68,1
15602456,Afanasyev,,Germany,Female,47,₹4,99219.47,2,₹1,1,122141.13,0
15813974 units,NULL,731,Germany,MALE,37,3 units,116880.53,1,0,0,172718.35,₹1
15628904,Bowen,733,NULL,Male,35,8,102918.38 units,1,1,1,45959.86,0
15641122,Wei,684,France,Male,30,2,0.0,2,1 units,0,83473.82,0
15780359,Storey,643,Germany,Male,25,4,115142.9,1,1,1,148098.95,0
15634143,Onyemauchechi,,Spain,Male,30 units,0,53291.86,1,0,0,196582.28,0 units
15749300 units,Teng,556,France,FEMALE,47 units,2,139914.27,₹1,1,1,50390.98,0
15568573,Graham,554,Germany,Female,51,7,105701.91,,0,1,179797.79,1
15664204,Meany,706,Spain,Male,29,₹2,0.0,2,1,1,18255.51,0
,Pan,700,Spain,Male,54,₹1,79415.67,1,0,1,139735.54,0
15655774,Booth,583,FRANCE,Male,27,₹7,0.0,2,1,0,51285.49,0
15658768,Lucas,547,France,NULL,49,2,0.0,1 units,0,0,65466.93 units,1
15697042,Genovesi,738,Spain,Male,35,8,127290.61,1,1,0,16081.62,0
15672912,LOGGIA,737 units,Spain  ,Female,₹39,7,130051.66 units,2,0 units,0,55356.39,1
15634772,Mario,682,Spain,Female,59,0,122661.39,1,,₹1,84803.76,0
15756625,Crawford,₹752,France,Female,41,8,0.0,2,1,0,139844.04,1
15716728,Basedow,₹513,Spain,Female,42 units,10,0.0,2,0,1,73151.25,0
15734461,Brooks,562,Germany,Male,31,2,112708.2,1,0,1,186370.3,0
15768530,Emery,554,Spain,Female,27,4,0.0,2,1,1,135083.73,0
15769191,Lipton,509,France,Male,55,8,132387.91,2,,1,170360.11,0
15723827,Macartney,683,France,Male,30,4,114779.35,1,0,0,183171.47,0
15755077,Norton,778,Germany,Female,37,0,105617.73,,1,1,133699.82,1
₹15704770,Pan,773,France,Male,25,1,124532.78,2,0,1,11723.57,0
15612729,Chidiebere,681,France,Female,63,₹7,0.0,2,1,1,55054.48,0
15664083,Ulyanova,666,Germany,Female,37,₹2,158468.76 units,1,0,1,93266.01,0
15694143,NULL,686,France,Female,41,10,0.0 units,1,1,0,133086.45,0
15726234,Trentini,708,SPAIN,Female,₹41,5,0.0,1,0,1,157003.99 units,0
15677908,Gilbert,552,Spain,NULL,42,4 units,0.0,₹2,0,0,195692.3,0
15684722,FRASER,490,France,Male,34,5,122952.9,2,0,0,₹154360.97,0 units
15617705,Ozioma  ,609,France,Female,39,8,141675.23,1,0,1,175664.25,0
15588461,Cremonesi,686,France,Male,35,4,0.0,1,1,,8816.37,0
15685150,Evans,799,Germany,Male,28,7,167658.33,2,₹1,₹1,111138.25,0
15689786,Massie,₹850,Germany,Male,56,1,169743.83,1,0,0,155850.4,1
15788634,Romani,750,Spain,Female  ,37,2,113817.06,1,₹0,0,88333.74,0
15714493,Francis,465,Spain,Female,33,6,0.0,2,₹1,1,95500.98,0
15671351,ROMANI,624,Spain,Male,35,2,0.0 units,2,1,0,87310.59,0
15658972,FOSTER,699,France,Female,40,8,122038.34 units,1,1,₹0,102085.35,₹0
15672821,OWEN,591 units,France,Male,28,5,0.0,,1,1,48606.92,0
15751549,H?,658,Germany,Male,31,2,77082.65,2,0,0,₹13482.28 units,0
15749472,Lucciano,,France,Male,45,8,0.0 units,1,1,0,₹130376.68 units,0 units
15632793,Wilkinson,638,France,Female,29,9,103417.74,1,1,1,15336.4,0
15751531,Shaw,598,Spain,Male,41,8,0.0,2,1,1,161954.43,0
15798895,Okonkwo,525,France,Female,,6,,1,1,0,83342.73,1
15695129,Milanesi,718,NULL,Female,31 units,1,152663.77,1,0,1,17128.64,0 units
15657529,Chin,714 units,Germany,Male,₹53,1,99141.86,1,1,1,72496.05,1
15786215,Udinese,793,,MALE,56,8 units,119496.25,2,1,0,29880.99,0
,Tseng,,France  ,Male,45,2,0.0,2,1 units,0,99593.28,0
15573348 units,Maclean,850,France,Male,35,9,102050.47,1,1,1,3769.71,0
15660980,Cairns,597 units,Spain,Male,38,6,115702.67,2,1,1,25059.05,0
15680436,Hsing,496,,FEMALE,29,4,0.0,2,1,0,164806.89,0
15634373,Yang,764,France,Male,30,5 units,0.0,2,0,1,105155.66,0
15569976,Woronoff,754,Germany,Male,65,1,136186.44,1,1,1,₹121529.59 units,
15797960,Skinner  ,806 units,,Female,59,0,135296.33,1,1,0,182822.5,0
15804211 units,Oluchukwu,719 units,France,Male,36,3,155423.17,1,₹1,1,199841.32 units,0
15772363,Hilton,772,Germany,Female,42,0,₹101979.16,1 units,1,0,90928.48,0
15692106,Rose,606,Spain,Female,25 units,3,147386.72,3 units,1,0,45482.04,1
15775124,Watterston,763,Spain,NULL,₹37,8,0.0,2,1,1,933.38,0
15602312,WALKOM,605,Spain,Male,33,5,150092.8,₹1,0,₹0,71862.79,0 units
15672246,Jefferies,686,Germany,MALE  ,43,2,134896.03,1,1,1,97847.05,0
15715907,ONWUBIKO,699,France,Male,,₹9,113109.52,1,1,0,27980.8,1
15698335 units,Bergamaschi,504,France,Female,73,8,₹0.0 units,1,1,1,34595.58 units,0
15658813,Siciliani  ,645,France,FEMALE,55,7,0.0,2,1,1,18369.33,0
15716218,Higgins,709 units,France,NULL,45,3,104118.5,1 units,0,1,174032.0 units,0
15741032,NULL,733,France,Male,48,5,0.0,1,0,1,117830.57,0
15603764,Chang,560,France,Male,49,4,0.0,1,1,1,100075.1,1
15576706,Ajuluchukwu,651,Germany,Male,37,9,114453.58,,0 units,1,175820.91,0
15680449,Hsing,431,Germany,Female,44,2,138843.7,1,1,0,37688.31 units,1
15730639,Fiorentino,715,FRANCE,Male,23,7,139224.92 units,2,1,0,65057.71,0
15567383,SLONE,678,Germany,Female,44,2,98009.13,2,0,1,31384.86,0
15618765 units,Ponomaryov,530 units,Germany,Female,42,0,99948.45,1,0,1,97338.62,0
₹15766458,Tang,498,France,MALE,₹33,1,198113.86,1,1,0,69664.35,0
₹15783026,H?,701,France,Female,41,2,0.0,1,1,0,47856.78,0
15801832,LOMBARDO,684,Germany,Male,42,1,117691.0,1,1,1,23135.65,1
15727311,Yen  ,539,France,Female,22,0 units,100885.93,,1 units,1,38772.65,0
15757911,Trevisani,643,NULL,Female,32,2,0.0,,₹0 units,0,131301.74,0
15679297,Volkova,,Spain,MALE,43,3,184926.61 units,1,1,0,₹122937.57,0 units
15674720,Smith,691 units,,Female,37,7,₹123067.63,1,1 units,1,98162.44,1
15588928,Maslow  ,704,France,Male,47,5,₹0.0,2,1,1 units,145338.61,0
15796993,McCollum,741,France,Male,52,1,171236.3 units,₹2 units,0,0,21834.4,1
15631912,T'ao,840,France,Male  ,30,8,₹136291.71,1,1,0,54113.38,0
15767598,KENT,540,Spain,Male,28,8,₹0.0,2,0,0,197588.32,0
15638494,Salinas  ,625,Germany,Female,39,10,129845.26,1,1 units,1,96444.88,0
15800845,Artemieva,732,Spain,Female,33,8,111379.55,1,1,,45098.62,0
15797767,Ikedinachukwu,600,France,Female,₹49,6,0.0,1,0,1,148087.88,
15573086,Millar,564,France,Male  ,42,7,99824.45,1,1,1,,0
15687648,Nicholson,691,France,Male,28,1,0.0,2,0,0,92865.41,₹0
15742480,Igwebuike,775,Germany,MALE  ,36,,109949.05,2,0,1,71682.54,0
15571940,AFAMEFULA,579,Spain,Male,22,3,118680.57,1,1,1,49829.8,0
15742229,Mackay,583,France,Male,59,7,127450.14,1,0,1,67552.71,0
15693637,Ochoa,556,,Female,30,7,0.0,2,1,,186648.19,
15660200,Mai,551,FRANCE,Male,31,1,0.0,,,1 units,₹185105.44,0
15627360,Fuller,,France,Male,42 units,9,152603.45,1,1 units,₹0,110265.24 units,1
15759250,BARNETT,745,Germany,Male,51,3,99183.9,1,1,₹1 units,28922.25,0
15726776,,705,Spain,Male  ,36,,111629.29,1,1,₹1,₹21807.16,0 units
15659557,Artamonova,811,GERMANY,Female,28,4,167738.82,2,1,1,9903.42,0
15789815,Fallaci,503,France,Female,28,5,0.0,2 units,1,0 units,125918.17,0
15581840,DeRose,626,FRANCE,Male,33,8,0.0,2,1,0,138504.28,0
15678779,Quezada,502,France,Male  ,,7,0.0,2,0,1,4082.52,0
15715512,Hsia,850,Germany,Male,29,1,154640.41,1,1,1,164039.51,0
15566594,McKenzie,709,Spain,Male,23,10,0.0,2,0,0,129590.18,0
15799217,Zetticci,,Germany,Female,35,₹7,52436.2,1,1,0,,0
15642530,Coates,706,Germany,Female,47,10,144090.42,1,1,₹0,140938.95,1
15773591,Jobson,787,France,Male,46,7,117685.31,2,1,1,93360.35,0
15717898,Bruce,542,Spain,Male,32,2,131945.94,1,0,₹1,159737.56,
,Chidubem,576,France,Female,41,4,112609.91,1 units,0,0,191035.18,1
15595937,BRUNO,430,,Male,36,1,₹138992.48,,0,0,122373.42,0
15680112,Stewart,473,Germany,Female,35,7,131504.73,1,1,0,189560.43,0
15641733,Mishina,671,France,,34,5,164757.56,1,1,0,110748.88,0
15587311,Dobbs,582,Spain,NULL,33,6,0.0,2,0,1,72970.93,0
₹15664555,Hughes,587,France,Male,40,2 units,0.0 units,4,0,1,106174.7,1
15682355,Sabbatini,772,Germany,Male,42,3,75075.31,2 units,1,0,₹92888.52,1
15580203,Kennedy,674,Spain,Male,39,6,,1,0,0,100130.95,0
15798341,NULL,,France,Male,₹38,,0.0,1,1,1,98208.62,0
15791321,Nwora  ,682,Spain,Female,58,,0.0,,1,0,176036.01,0
15749688,Lu,541,,Male,32,8,0.0,2,,0,40889.14,0
15807768,Cohn  ,702,Germany,Male,28,1,103033.83,1,1,1,₹40321.87,0 units
15774536,He,607,France,Female,32,6,0.0 units,2,0,0,196062.01,0
15702631,Tang,567,France,Female,26,2,0.0,2,,1,78651.55,0
₹15738889,SHIH,658,France,Male,42,8,102870.93,1,0,1,103764.55,1
15591942,Zito,611,Spain,Female,33,7,0.0 units,2,1,₹1,3729.89,0
15622230,CRIBB  ,₹705,France,Female,₹35,3,0.0,2,0,1,66331.01,0
15719541,Flannagan,₹675,,Male,31,2,90826.27,2,1,0,60270.87,
15714634,Nebechi,837,France,Male  ,26,4,89900.24,2,₹1,0,175477.03,0
15718245,Pirozzi,730 units,France,Male,34,1,0.0,2,1,1 units,126592.01,0
15583552,Donaldson,674,NULL,Male,44,,88902.21,1,1,0,73731.32,0
15806447,Mazzanti,690,Germany,Male,32,0,106683.52,2,1,1,137916.49 units,0
15726796 units,Brabyn,844,France,Male,38,7,111501.66,1,1 units,1,119333.38,0
15635396,Thompson,738,NULL,Female,29,9,139106.19,1,1,0,141872.05 units,1
15600992,Madukaego,652,,,36,1,0.0,2,1,1,151314.98,0
15794792,Golubev,612,France,Female,31,8,117989.76,1,1,1,54129.86,0
15613427,Barling,683,Germany,Female,49,7,108797.63,2,0,0,140763.18,0
15657812,Ch'iu,688,France,Male,52,1 units,0.0,2 units,1,,172033.57,
15702462,Fiorentini  ,619,Spain,Female,44,6,52831.13,1,1,1,,1
15584518,ARTHUR,589,Germany,Female,50,5,144895.05,2,1,1,34941.23,0
15735968,Hsing,605,France,Male,41,10,0.0,2,0,1,97213.09,0
15664895,Onuchukwu,602,France,Female,25,0,0.0,2,1,1,101274.17,0 units
15673995,Tu,516,Spain,Female,65,₹9,102541.1,1,1,0,181490.42,0 units
15632899,Nwankwo  ,662,Spain,Male,20,9,104508.77,2,0,0,73107.53,0
15646521,Fan,₹634 units,SPAIN,Female,36,1,0.0,1,1,1,143960.72,0 units
,Trevisani,599 units,France,Female,41,2,91328.71,1,1,0 units,115724.78,0
15675749,Baranov,695,France,Female,23 units,1,0.0,2,1,1,141756.32,0
15567557,Chien,573,France,Male,27,2 units,128243.03 units,1,1,1,₹11631.34,0
15612108,Norman,625,France,Male,52,5,164978.01,1,1,1,67788.49,0
15703264,Chukwufumnanya,735,France  ,Male,₹44,9,120681.63,1,₹1,0,74836.34,0
15706036,Lombardo,552,GERMANY,Male,38,10,132271.12,2,1,1 units,46562.02,0
15747345,Bergamaschi,678,France,Female,22,6,118064.93,2,1,1,195424.01,0
15728669,KNOWLES,584,Germany,NULL,30 units,8,112013.81 units,1,1,0,177772.03,1
15653521,Onuora,850,Germany,,40,7,104449.8,1,1,1,747.88,0
15785576,Mayrhofer,434,Germany,Male,71,9,119496.87,1,1,₹0,125848.88,0
15801605,Rizzo,626,France,Female,39,0,0.0,2,₹1,1,83295.09,0
15771442,Pennington,633,France,Male,40 units,4,₹150578.0,1,0,1,34670.62,1
15804052,NULL,710,Spain,Male,23,6,0.0,2,1,1,134188.11,0
15565706,Akobundu  ,612,Spain,Male,35,1,0.0,1,₹1,1,83256.26,1
15641490,Windsor,850,Germany,Female,25,₹8,69385.17,2,₹1,0,87834.24,0
15750649,NULL,744,NULL,Female,44,3 units,0.0,2,1,₹1,189016.14 units,0
15612966,,545,NULL,Female,60 units,7,₹128981.07,1,0,1,176924.21,1
15635502,Ch'iu,443,,Male,44,2,0.0,1,1 units,0,159165.7,0
15614420,Gerasimova,531,Germany,FEMALE,32,0,109570.21,2,1,1,172049.84,0
15753462,Godson,632,Germany,Male,30,2,72549.0,2,0,1,182728.8,0
15763612,T'an,756,Germany,Male,41,,124439.49 units,2,0,1,47093.11,0
₹15733032,Butler,651,Spain,Male,47,2,0.0,2,1,1 units,119808.64,0
15574331,Alexeeva,593,Germany,Female,,3,118233.81,1 units,0,1,24765.53,1
15694160,Sagese,624,France,Male,37,0,0.0 units,2,0,₹0,112104.55,0
15777033,Chizoba,524,France,Male,29,7,0.0,2,1 units,1,105448.74,
,Atkinson,714,Germany,Male,29,6,92887.13,1,1 units,1,69578.49 units,0
15704910,Rios  ,631,Spain,,23,3,0.0,2,1,0,13813.24,0
15613463,Hackett,679,Germany,FEMALE,50,6,132598.38,2,1,1,184017.98,₹0
15629323,Kelechi,617,Germany,Female,37,4,116471.43,₹2,1,0,175324.74,1
15583668,Ludowici,726,France,Female,42,2,109471.79,1,0,1,175161.05,0 units
15709447,Reed,584,France,Female,26 units,,146286.22 units,1,,0,105105.35 units,₹0
15794396,NEWBOLD,494,Germany,FEMALE,38,7,174937.64,1,1,0,40084.32,0
15777076,Clark,651,France,Male,36,7,0.0,2,1,0,13898.31,0
15660679,Chimaobim,653,Spain,Female,38 units,9,149571.94,1,1,0,118383.18,0
15632576,Yashina,520,NULL,Male,31,4,93249.4 units,1,1,0,77335.75 units,0
15684296,Artyomova,714,France,Male,34,,141173.03,1,0,1,98896.06,0
15606836,Lombardo,782,France,Female,33,2,94493.03,1,0,1,101866.39,0
15749583,Bellucci,686,Germany,FEMALE,38,2,93569.86,3,0,0,10137.34,1
15722532,Angelo,690 units,NULL,Female,36,10,91760.11,1,1,1,135784.94,0
15738501,Booth,601,Germany  ,Male,48,9,163630.76,1,0,1,41816.49,1
15576928,WALSH,573,France,,23,2,0.0,₹1,1,0,122964.18,0
15665177,Booth,613,France,NULL,44,3 units,0.0,2,0,1,136491.72,0 units
15633112,Madukaego,681,Germany,Male,42,3,118199.97,2,1 units,0,9452.88 units,1
15773322,Obiajulu,536,GERMANY,Female,44 units,4,121898.82,1,0,0,131007.18,0
,Tao,611,France,Male,28,2,0.0,2 units,₹0,0,25395.83,0
15801466,Gray,574,France,Female,₹39,2,122524.61,2,1 units,0,88463.63,0
15708867 units,Niu,684,Spain,Female,38,3,134168.5,3,1,0,3966.5,₹1
15733014,Nolan,813 units,,Female,62,10,64667.95,2,0,1,140454.14,0
15797736 units,Smith,658,France,Male,29,4,80262.6,1,1,1 units,₹20612.82,0
15610557,McCarthy,695,Spain,Female,35,7,79858.13,2,₹1,₹1 units,₹127977.66,0
15810227,Fanucci,421,France,Male,34,2,0.0,2,1 units,1,96615.23,0
15731412 units,Trevisano,693,Germany,FEMALE,₹37,6,95900.04,1,1,1,38196.24,0
15679024,Udinesi,553,France,NULL,32,3,116324.53,₹1,₹1,0,77304.49,0
15772798,,711,Spain,Female,₹28,5,0.0,2,1,1,93959.96,0
15609058,Wan,676,France,Male,23 units,1,107787.47,1,0 units,1,116378.82,0
15634628,NULL,579,,Female,33,1,65667.79,2 units,0,0 units,164608.98,0
,Wakelin,692,Spain,Female,29,4,0.0,2,0,0,138880.24,0 units
15628936,Archer,692,Spain  ,Male,28,9,118945.09,1,₹0,0,16064.25,1
15695168,Bruce,625,FRANCE,MALE,39,2,0.0,2,1,0 units,100403.05,0
15712584,Liao,670 units,France,Female,33,7,0.0,2,1,1,88187.81,0
15654238,Jen  ,673,France,Female,40,5 units,137494.28,1,1,0,81753.92,0
₹15611287,Chiu,777,France,Female,,4,0.0,2,0,1,115611.97,0
15715667,Sorokina,,France,Female,32,7,0.0,2,0,0,155227.0,0
15725665,Lo  ,₹679,France,Male,47,10,198546.1,2,1,0,191198.92,1
15711572,O'Kane,705,Germany,NULL,31,9,110941.93,2 units,1,0,163484.8,0 units
15578141,Chien,592,Spain,Male,38,3,0.0,1,1,1,12905.89,1
15761717,Ch'ien,720,NULL,NULL,,10 units,51962.91,2,1,0,45507.24,0
,Walker,700,Spain,Male,31,7,0.0,2,0,1,145151.96,0 units
15723818,Carpenter,453,France,Female,37,4,131834.76,2,1,0 units,8949.2,0
₹15667085,MENG,667,France,Male,33,4,0.0,2,1,1,131834.75,₹0
15756875,Freeman,782,Spain,Male,34,6,147422.44,1,0,1,42143.61,0
15758372,NULL,674,France,Male,18,7,0.0,2,₹1 units,1,55753.12,1
15733361,Davide,651,Germany,Female,45,₹6,86714.06,₹1,1,0,85869.89,₹1
15718231,Gregory,537,France,Male,28,₹0,88963.31,2,1,1,189839.93,0
15657105,Chukwualuka,₹726,Spain,Male,36,2,0.0,1,1,0,195192.4,0
,Lombardo,599,NULL,MALE,34,2,101506.66,1,0,0,198030.24,0
15592230,Seleznyov,620,France  ,Male,41,3,0.0,2,1,1,137309.06 units,0
₹15782210,K'ung,714,France,Male,46,1,0.0,1,1,0,152167.79,1
15670343,Li,576,Spain,Male,19,6 units,₹0.0,2,0,0,72306.07,
15576065,Sims,₹731,Spain,Female,40,5,171325.98,1,1,₹1,159718.27,1
15715297,Yuan,₹779,Germany,Female,40,2,75470.23,1,1,1,52894.01,0
15701319,Baxter,614,Germany,Female,37,6,96340.81,2,1,1,139377.24,1
₹15698028,Duncan,506,France,Female,41,,0.0,2,1,0,31766.3,₹0
15775339,Lori,520,France,Female,29,8,,1,1,0,4696.44,0
15652289,Williams,694,France,Male,47,4,0.0,2,1,0,197528.62,0
15592707,Dolgorukova,531,,Female,64,2,175754.87,2,1,1,60721.4,0 units
,Wang,712,France,Female,,3,87375.78,2 units,0,0,166194.53,0 units
15765297,Yao,766,Spain,Male,41,0,0.0,2,0,1,34283.23,0
₹15602034,Kolesnikov,697,FRANCE,Female,,2,126558.92,1,1,0,73334.43,0
15659962,McIntosh,637,NULL,Male,₹60,3,0.0,₹2,1,1,70174.03,₹0
15744942,Steele,638,Spain,Female,55,2,155828.22,1,0 units,1,108987.25,1
15674442,Kung,681,FRANCE,Male,23,7,157761.56,1,0,0,147759.84,0
15752534,Mironov,744,France,Male,36,10,0.0,2,1,1,182867.84,0
15637522,Shubina,507,France,Female,31,0,106942.08,1,0,1,44001.11,₹0 units
15689351,Johnson,742,Germany  ,Female,41,4,92805.72,1,0,1,73743.95,1 units
15610355,Hunter,713 units,France,MALE,₹44,1,63438.91,1,1,0,64375.4 units,0
15706394,Howell,609,France,Male,53,7,0.0,2,0,1,52332.85,0
15805681 units,Chamberlain,716,France,Male,41,9,0.0,1,1,1,113267.48,₹0
15626114,Pearson,429,France,Male,24,4,95741.75,1,1,₹0,46170.75 units,0
15785406,Watts,446,France,Female,51,4,105056.13,1 units,0,0,70613.52,0
,Allingham,670,Spain,Male,43 units,,97792.21,1,0,,120225.62,0
15629885 units,Wilson,850,France,Female,33,7,118004.26,1,1,0,183983.82,0
15567333,Archambault,712,FRANCE,Female,31,7,0.0,2,1 units,,170333.38,0
15643487,Sal,630,Spain,Male,39,10,105473.74,1,0 units,0,58854.88,1 units
15681924,Ekwueme,747,Germany,MALE,38 units,2,129728.6,1,1,0,89289.54,0
15666711,Ukaegbulam  ,586,France,Female,46,0,0.0 units,3,0,1 units,131553.82,1
15714689,Houghton,591,Spain,Male,29,1 units,97541.24,1,₹1,1,196356.17,0
15774393,Ch'ien,694,France,Female,30,9,,2,1,1,26960.31,0 units
15691111,Pai,648,Germany,Female,42,8,121980.56,2,1 units,0,4027.02,0
15621210,,599,Germany,Male,46,₹9 units,₹123444.72 units,1 units,1,1,31368.08,1 units
